formula,SIC,,,,,,
Ba10Li2Bi4O21,0.11098021,,,,,,
Ba10LiW7O30,0.11674826,,,,,,
Ba12Na15Li8N6,0.81448,,,,,,
Ba14LiY7(Cu10O21)2,0.87973773,,,,,,
Ba14Na11Li5N6,0.7758254,,,,,,
Ba14Na14LiN6,0.69483036,,,,,,
Ba19Li44,0.705315,,,,,,
Ba19Na29Li13,0.5752565,,,,,,
Ba2Li(BO2)5,0.65873283,,,,,,
Ba2Li(CuO2)3,0.02989541,,,,,,
Ba2Li3(PO3)7,0.02338954,,,,,,
Ba2Li3Ho3(WO4)8,0.85275376,,,,,,
Ba2Li3La3(MoO4)8,0.72125727,,,,,,
Ba2Li3NbN4,0.02725689,,,,,,
Ba2Li3TaN4,0.01788039,,,,,,
Ba2Li3Y3(MoO4)8,0.7744273,,,,,,
Ba2Li3Y3(WO4)8,0.86604995,,,,,,
Ba2LiAl(CN2)4,0.45487112,,,,,,
Ba2LiB10O19,0.03078108,,,,,,
Ba2LiCd,0.31812224,,,,,,
Ba2LiFe2N3,0.01746255,,,,,,
Ba2LiGe3,0.34240106,,,,,,
Ba2LiHg,0.31812224,,,,,,
Ba2LiIn,0.31812224,,,,,,
Ba2LiIO6,0.07199372,,,,,,
Ba2LiMg,0.31996375,,,,,,
Ba2LiN,0.88517493,,,,,,
Ba2LiOsO6,0.09964319,,,,,,
Ba2LiReN4,0.01710945,,,,,,
Ba2LiReO6,0.09831305,,,,,,
Ba2LiSi3,0.30705866,,,,,,
Ba2LiTeO6,0.07288339,,,,,,
Ba2LiTi11O24,0.10236397,,,,,,
Ba2LiTl,0.31812224,,,,,,
Ba2LiVP2O9,0.12131397,,,,,,
Ba2NaLi,0.15411736,,,,,,
Ba3(LiAs)4,0.5198271,,,,,,
Ba3(LiBi)4,0.7083837,,,,,,
Ba3(LiSb)4,0.5198271,,,,,,
Ba3(LiSn2)4,0.6913732,,,,,,
Ba38Na58Li26H,0.57261187,,,,,,
Ba38Na58Li26N,0.57261187,,,,,,
Ba39Li80N9,0.684698,,,,,,
Ba3Li,0.6842833,,,,,,
Ba3Li2B10(H3O11)2,0.60636795,,,,,,
Ba3Li2Mo4P6(ClO14)2,0.01607922,,,,,,
Ba3Li2V2Cl4O7,0.14562783,,,,,,
Ba3LiIn11,0.47023988,,,,,,
Ba3LiIr2O9,0.10277619,,,,,,
Ba3LiIrRuO9,0.7884592,,,,,,
Ba3LiN,0.86314,,,,,,
Ba3LiOs2O9,0.09958281,,,,,,
Ba3LiRu2O9,0.10294374,,,,,,
Ba3LiTa3Ti5O21,0.54320675,,,,,,
Ba3LiTi5(SbO7)3,0.01510293,,,,,,
Ba3LiTi5Nb3O21,0.5566589,,,,,,
Ba4Li(BiO4)3,0.20186,,,,,,
Ba4Li(BN2)3,0.7588269,,,,,,
Ba4Li(IrO4)3,0.1179675,,,,,,
Ba4Li(SbO4)3,0.1414632,,,,,,
Ba4Li2(CdAs2)3,0.35591465,,,,,,
Ba4Li2(CdP2)3,0.35591465,,,,,,
Ba4Li4Ti19O44,0.05414009,,,,,,
Ba4Li6Ti19O44,0.01604475,,,,,,
Ba4LiBi3O11,0.07834654,,,,,,
Ba4LiCu(CO5)2,0.7395901,,,,,,
Ba4LiGa5Se12,0.22084968,,,,,,
Ba4LiMo2N7,0.0170705,,,,,,
Ba4LiNb3O12,0.101003725,,,,,,
Ba4LiTa3O12,0.102661,,,,,,
Ba4LiW2N7,0.0170705,,,,,,
Ba4LiY2Cu5O14,0.8534838,,,,,,
Ba5Li2(TeO5)3,0.07332845,,,,,,
Ba5Li2(WO5)3,0.10262875,,,,,,
Ba6Li2Si4ClO15,0.06706579,,,,,,
Ba6Li2Ta9Ti7O42,0.6513268,,,,,,
Ba6Li2Ti16O39,0.11071964,,,,,,
Ba6Li2Ti7(Sb3O14)3,0.0175347,,,,,,
Ba6Li2Ti7Nb9O42,0.5489618,,,,,,
