MP ID,Formula,Energy Above Hull (eV),Band Gap (eV)
mp-772977,Ba10LiW7O30,0.061932438,1.4584
mp-6075,Ba2Li(BO2)5,0,4.9517
mp-555958,Ba2Li3(PO3)7,0.000288834,5.4511
mp-1228762,Ba2Li3Ho3(WO4)8,0.059323165,3.2447
mp-1228731,Ba2Li3La3(MoO4)8,0.020441723,2.509
mp-567658,Ba2Li3NbN4,0.005577901,2.2754
mp-573677,Ba2Li3TaN4,0,2.2751
mp-1228739,Ba2Li3Y3(MoO4)8,0.047419116,2.2428
mp-1228802,Ba2Li3Y3(WO4)8,0.056808996,2.8751
mp-1197768,Ba2LiAl(CN2)4,0,4.1281
mp-1207120,Ba2LiIO6,0,2.0756
mp-1235162,Ba2LiMn2O6,0.07345597,0.7942
mp-10555,Ba2LiReN4,0,1.7902
mp-6270,Ba2LiReO6,0,1.8198
mp-760067,Ba2LiVP2O9,0.092964302,1.8934
mp-1197500,Ba3Li2B10(H3O11)2,0.002180377,5.4423
mp-699932,Ba3Li2Mo4P6(ClO14)2,0.008504014,2.1138
mp-581188,Ba3Li2V2Cl4O7,0.010180828,3.1302
mp-677212,Ba3LiTa3Ti5O21,0.002260264,2.2708
mp-766108,Ba3LiTi5(SbO7)3,0.029786569,2.3975
mp-766208,Ba3LiTi5Nb3O21,0.006650028,1.8373
mp-1214461,Ba4Li(BiO4)3,0,0.5661
mp-1214440,Ba4Li(BN2)3,0.022537674,2.4764
mp-7971,Ba4Li(SbO4)3,0,1.4544
mp-762032,Ba4Li4Ti19O44,0.045457547,2.3023
mp-15472,Ba4LiCu(CO5)2,0,0.9265
mp-1197353,Ba4LiGa5Se12,0.022521868,1.7354
mp-6011,Ba4LiMo2N7,0,1.5654
mp-18274,Ba4LiNb3O12,0,2.5798
mp-16792,Ba4LiTa3O12,0,3.1133
mp-6665,Ba4LiW2N7,0,1.763
mp-1228258,Ba5Li2(TeO5)3,0,1.2112
mp-557816,Ba5Li2(WO5)3,0,2.2925
mp-1228411,Ba5Li2U3O15,0,1.2725
mp-1199258,Ba5LiGaN3F5,0.006158794,1.3588
mp-1228175,Ba5LiMo2N7Cl2,0,2.3448
mp-775484,Ba6Li2Ti16O39,0.015576935,2.1144
mp-1235210,Ba6LiNb2Ir(ClO6)2,0.056789801,1.6882
mp-1228109,Ba8Li13GaSb12,0.001575085,0.7191
mp-559419,Ba9LiSi10C(ClO4)7,0.001721252,4.6715
mp-17672,BaLi(B3O5)3,0,5.7835
mp-557892,BaLi(BS2)3,0,2.7298
mp-1019547,BaLi2Mg(PO4)2,0.008847377,5.6382
mp-1103771,BaLi2MnV2O8,0,2.7197
mp-756841,BaLi2NiO3,0.083559524,2.2093
mp-6175,BaLi2P2O7,0.00206884,5.3618
mp-558310,BaLi2SiO4,0,4.3896
mp-558083,BaLi2Ti6O14,0,2.8908
mp-776559,BaLi4NiO4,0.052374265,2.6893
mp-778878,BaLi4O3,0.086320239,3.3976
mp-543044,BaLiAlF6,0,7.3161
mp-10616,BaLiAs,0,0.5928
mp-6499,BaLiBO3,0,4.1341
mp-554076,BaLiBS3,0,2.1531
mp-759611,BaLiCaVP2O9,0.060479662,2.0007
mp-17034,BaLiCoF6,0.040099868,2.2721
mp-560949,BaLiCrF6,0,2.1413
mp-10250,BaLiF3,0.02190322,6.5643
mp-23818,BaLiH3,0,2.2146
mp-40189,BaLiLaTeO6,0.030170702,2.9506
mp-1227900,BaLiMg2AlSi3(O5F)2,0.01582651,4.3189
mp-1247100,BaLiN,0.038462658,0.5322
mp-13277,BaLiP,0,0.9631
mp-41219,BaLiPrTeO6,0.065872023,3.1399
mp-10485,BaLiSb,0,0.6947
mp-555845,BaLiZr2F11,0.005116611,5.7451
mp-694942,BaNa5LiCo5F18,0.058583188,2.0206
mp-1019555,BaNaLi3(BO2)6,0,5.2185
mp-1019606,Cs2Li2B2P4O15,0,5.4224
mp-8313,Cs2Li2GeO4,0,3.4744
mp-504849,Cs2Li2SiO4,0,3.8531
mp-8294,Cs2Li2TiO4,0,3.9554
mp-966802,Cs2Li3(BO2)5,0.006559991,4.5354
mp-1196318,Cs2Li3B3P6(PbO12)2,0,5.0959
mp-571409,Cs2Li3Br5,0.005485786,4.4362
mp-560088,Cs2Li3F5,0.091127606,5.6184
mp-555140,Cs2Li3GaO4,0,3.6593
mp-1080534,Cs2Li3I5,0.01145273,3.8569
mp-1019607,Cs2Li5(BO2)7,0.003907452,3.9805
mp-13634,Cs2LiAl3F12,0,7.0872
mp-1206808,Cs2LiAlF6,0,6.8832
mp-14364,Cs2LiAsO4,0,3.7302
mp-1111865,Cs2LiBiBr6,0.011177394,2.9154
mp-1111851,Cs2LiBiCl6,0.009754944,3.6075
mp-1110976,Cs2LiBiF6,0.005219256,4.8946
mp-1112838,Cs2LiBiI6,0.03142152,1.9323
mp-1095674,Cs2LiBr3,0.000342406,4.3476
mp-1110975,Cs2LiCeF6,0.004648866,0.5299
mp-571390,Cs2LiCl3,0.024859439,5.13
mp-6884,Cs2LiCo(CN)6,0.017379223,4.2816
mp-1226357,Cs2LiCr3F12,0,3.1832
mp-1206440,Cs2LiCrF6,0,4.3359
mp-1113018,Cs2LiDyCl6,0,5.0917
mp-1111446,Cs2LiErCl6,0,5.1941
mp-553988,Cs2LiF3,0.048286329,5.659
mp-6654,Cs2LiGaF6,0,6.1433
mp-1112624,Cs2LiGdCl6,0,2.782
mp-1103949,Cs2LiI3,0.013564423,3.7682
mp-989405,Cs2LiInBr6,0,1.5789
mp-571527,Cs2LiInCl6,0,3.2276
mp-1113016,Cs2LiInF6,0.004074149,5.227
mp-574653,Cs2LiIr(CN)6,0,5.4079
mp-1245352,Cs2LiLaBr6,0.013841643,3.7835
mp-1112681,Cs2LiLaCl6,0.01695253,4.4927
mp-570379,Cs2LiLuCl6,0,5.3389
mp-18722,Cs2LiMnO4,0,1.5915
mp-1111847,Cs2LiMoBr6,0.047541045,1.2684
mp-1110989,Cs2LiMoCl6,0.03343741,1.5978
mp-1110974,Cs2LiMoF6,0,4.8178
mp-1112836,Cs2LiMoI6,0.085883738,0.9856
mp-573030,Cs2LiNbS4,0,2.4582
mp-1194993,Cs2LiNd(BO3)2,0,4.4762
mp-1111845,Cs2LiNdBr6,0,3.9972
mp-1111841,Cs2LiNdCl6,0.00015502,4.8227
mp-1110973,Cs2LiNdF6,0.03978248,7.055
mp-1112834,Cs2LiNdI6,0,2.9743
mp-989536,Cs2LiNF6,0.002199599,2.467
mp-1111839,Cs2LiPrBr6,0,3.9721
mp-1111836,Cs2LiPrCl6,0.014560851,4.7971
mp-1110972,Cs2LiPrF6,0.023270646,6.9993
mp-1113008,Cs2LiPrI6,0,2.9609
mp-1111835,Cs2LiSbBr6,0.022989746,2.3396
mp-1111439,Cs2LiSbCl6,0.018715156,2.9508
mp-1110971,Cs2LiSbF6,0.089258367,4.1258
mp-1112673,Cs2LiSbI6,0.035539827,1.7376
mp-1189625,Cs2LiScCl6,0,3.8154
mp-1113081,Cs2LiScF6,0.022663993,6.6268
mp-1112671,Cs2LiSmCl6,0,4.9508
mp-1112669,Cs2LiTbCl6,0,5.0434
mp-1112670,Cs2LiTlBr6,0.030591878,0.5505
mp-1112999,Cs2LiTlCl6,0.018131119,1.5236
mp-989562,Cs2LiTlF6,0.010150474,3.4749
mp-1235075,Cs2LiTm2(WO4)4,0.065564648,2.2391
mp-1112998,Cs2LiTmCl6,0,5.2527
mp-1226312,Cs2LiV3F12,0,2.1634
mp-541190,Cs2LiVO4,0,3.9955
mp-510338,Cs2LiVS4,0,1.5878
mp-1111833,Cs2LiYBr6,0,4.0508
mp-567652,Cs2LiYCl6,0,4.8986
mp-1110969,Cs2LiYF6,0.015688844,7.2663
mp-1112663,Cs2LiYI6,0,3.0085
mp-1019609,Cs2Sr2Li3B3(PO4)6,0,5.6029
