ID,composition,temperature,target,log_target,family,ChemicalFamily,,,source
904,Li0.95Mg0.95In0.05PO4,25,1.12E-10,-9.950781977,Olivine,Oxides,,,10.1149/1.1392498
704,Li4SiO4,25,2.00E-10,-9.698970004,LISICON,Oxides,,,10.1016/j.ssi.2008.04.015
2029,Li6NiCl8,25,2.69E-10,-9.569675406,Rocksalt,Halides,,,10.1016/0167-2738(94)90309-3
446,LiCrSb(PO4)3,30,3.57E-10,-9.447331784,NASICON,Oxides,,,10.1016/0167-2738(94)90309-3
,Li3VO4,27.5,8.35E-07,-9.40674785,LISICON,Oxides,,,10.1016/j.ssi.2008.08.013
905,Li0.9Mg0.9In0.1PO4,25,5.01E-10,-9.300162274,Olivine,Oxides,,,10.1016/j.ssi.2008.08.013
2024,Li3Fe(MoO4)3,25,5.89E-10,-9.229824822,Lysonite,Oxides,,,10.1016/j.ssi.2008.08.013
8,Li6PO5Cl,25,1.00E-09,-9,Argyrodite,Oxides and Other Anions,,,10.1016/S0022-3093(99)00688-2
495,LiFePO4,30,1.10E-09,-8.958607315,Olivine,Oxides,,,10.1016/S0167-2738(02)00137-6
906,Li0.85Mg0.85In0.15PO4,25,1.26E-09,-8.899629455,Olivine,Oxides,,,10.1016/j.jeurceramsoc.2008.12.016
2007,(Li2O)16.6(SiO2)83.4,25,1.30E-09,-8.887183074,Glass,Oxides,,,10.1016/j.jeurceramsoc.2008.12.016
852,(Li2O)50(P2O5)50,25,1.32E-09,-8.879426069,Glass,Oxides,,,10.1016/j.jeurceramsoc.2008.12.016
907,Li0.83Mg0.83In0.17PO4,25,1.41E-09,-8.850780887,Olivine,Oxides,,,10.1016/j.jeurceramsoc.2008.12.016
727,LiAlH4,25,2.00E-09,-8.698970004,Other,Other,,,10.1134/S1023193509050048
471,LiSn2(PO4)3,25,2.00E-09,-8.698970004,NASICON,Oxides,,,10.1016/j.jeurceramsoc.2008.12.016
122,(Li2O)50(Al2O3)2(P2O5)48,25,3.16E-09,-8.500312917,Glass,Oxides,,,10.1016/j.ssi.2008.01.072
2022,Li3Cr(MoO4)3,25,3.19E-09,-8.496443639,LISICON,Oxides,,,10.1016/j.ssi.2007.10.011
2006,LiAlSi2O6,25,3.49E-09,-8.457685004,Glass,Oxides,,,10.1007/s11581-006-0054-y
128,(Li2O)50(Al2O3)3(P2O5)47, ,5.75E-09,-8.240332155,Glass,Oxides,,,10.1016/j.ssi.2007.10.011
,Li4P2S6,25,1.29E-07,-8.192973447,Thio-LISICON,Sulphides,,,10.1007/s11581-006-0054-y
2012,(YPO4)0.7(Li3PO4)0.3,25,6.57E-09,-8.182516656,Zircon,Oxides,,,10.1016/j.ssi.2007.10.011
6,Li2.7OH0.3Cl,26,7.30E-09,-8.13667714,Anti-Perovskite,Oxides and Other Anions,,,10.1007/s11581-006-0054-y
853,(Li2S)9(LaOI),30,8.13E-09,-8.089909454,Glass,Sulphides and Other Anions,,,10.1016/j.jpowsour.2006.04.037
252,Li4Nd3TeSbO12,25,8.70E-09,-8.060480747,Garnet,Oxides,,,10.1021/acsomega.8b00377
129,(Li2O)50(Al2O3)4(P2O5)46,25,9.12E-09,-8.040005162,Glass,Oxides,,,10.1016/j.jpowsour.2006.04.037
637,Li0.1Sr0.8Ti0.7Nb0.3O3,25,1.00E-08,-8,Perovskite,Oxides,,,10.1016/j.jpowsour.2006.04.037
2008,Li3Fe2P3O12,25,1.11E-08,-7.953862132,Glass-Ceramic,Sulphides and Other Anions,,,10.1016/j.ssi.2008.01.072
847,(Li2O)50(Al2O5)5(P2O5)45,25,1.15E-08,-7.93930216,Glass,Oxides,,,10.1016/j.jpowsour.2012.12.001
901,Li5AlS4,25,1.26E-08,-7.89997427,Thio-LISICON,Sulphides,,,10.1016/j.ssi.2008.01.072
913,Li3AlS3,25,1.31E-08,-7.882728704,Other,Sulphides,,,10.1039/C3EE41655K
2019,Li4.25Si0.75Al0.25O4,25,2.02E-08,-7.695350471,LISICON,Oxides,,,10.1016/j.ssi.2008.01.072
413,Li2InHf(PO4)3,25,2.74E-08,-7.562249437,NASICON,Oxides,,,10.1016/j.jpowsour.2008.07.089
708,LiI,25,2.80E-08,-7.552841969,Rocksalt,Halides,,,10.1007/s11581-008-0276-2
85,(Li2S)0.3((P2S5)0.4(Sb2S3)0.6)0.7,31,2.98E-08,-7.525783736,Glass,Sulphides,,,10.1016/j.ssi.2007.10.011
448,LiAlSb(PO4)3,30,3.17E-08,-7.498940738,NASICON,Oxides,,,10.1016/0167-2738(89)90457-8
